Product,Quantity,UnitPrice,PaymentType,TransactionID,TotalPrice,Customer_id,Gender,sale_date,
Printer,7,139.58,Gift Card,TX300033,977.06,101,Male,2022-09-28,
Chair,3,242.83,Debit Card,TX300034,728.49,147,Male,2022-04-16,
Monitor,8,191.77,Debit Card,TX300035,1534.16,77,Male,2022-02-08,
Phone,3,335.3,Gift Card,TX300036,1005.9,15,Male,2022-11-22,
Tablet,9,270.32,Gift Card,TX300037,2432.88,145,Female,2022-09-02,
Desk,4,256.29,Debit Card,TX300038,1025.16,72,Male,2022-04-04,
Laptop,1,314.48,Gift Card,TX300039,314.48,115,Female,2022-11-17,
Laptop,2,347.71,Online,TX300040,695.42,85,Male,2022-04-11,
Printer,5,63.06,Cash,TX300041,315.3,57,Male,2022-03-12,
Laptop,4,234.54,Credit Card,TX300042,938.16,128,Male,2022-02-13,
Printer,2,43.42,Cash,TX300043,86.84,77,Female,2022-03-12,
Phone,10,137.23,Gift Card,TX300044,1372.3,23,Male,2022-02-12,
Chair,7,124.76,Gift Card,TX300045,873.32,72,Female,2022-02-28,
Tablet,3,88.91,Online,TX300046,266.73,85,Female,2022-03-05,
Phone,4,206.84,Online,TX300047,827.36,64,Female,2022-08-26,
Printer,10,20.98,Cash,TX300048,209.8,42,Female,2022-07-05,
Printer,3,40.09,Credit Card,TX300049,120.27,137,Female,2022-02-02,
Printer,2,42.49,Cash,TX300050,84.98,71,Female,2022-09-23,
Chair,9,49.99,Debit Card,TX300051,449.91,88,Female,2022-06-13,
Phone,3,67.02,Gift Card,TX300052,201.06,114,Male,2022-06-14,
Desk,4,8.47,Gift Card,TX300053,33.88,24,Male,2022-03-06,
Phone,3,303.35,Debit Card,TX300054,910.05,135,Female,2022-03-13,
Laptop,7,101.59,Credit Card,TX300055,711.13,94,Male,2022-03-21,
Chair,1,263.81,Gift Card,TX300056,263.81,80,Male,2022-01-26,
Desk,6,63.78,Online,TX300057,382.68,80,Male,2022-11-13,
Phone,7,294.17,Debit Card,TX300058,2059.19,22,Female,2022-11-23,
Chair,6,338.25,Debit Card,TX300059,2029.5,62,Male,2022-09-29,
Tablet,8,286.5,Debit Card,TX300060,2292,59,Female,2022-07-11,
Desk,7,221.11,Gift Card,TX300061,1547.77,62,Female,2022-04-06,
Printer,2,367.88,Cash,TX300062,735.76,39,Male,2022-04-16,
Laptop,7,388.02,Credit Card,TX300063,2716.14,58,Female,2022-06-27,
Laptop,5,121.92,Online,TX300064,609.6,44,Female,2022-06-11,
Printer,10,306.37,Cash,TX300065,3063.7,41,Female,2022-02-08,
Phone,10,241.6,Debit Card,TX300066,2416,90,Male,2022-10-03,
Desk,8,354.29,Gift Card,TX300067,2834.32,85,Female,2022-07-31,
Tablet,4,133.01,Debit Card,TX300068,532.04,15,Male,2022-04-03,
Phone,1,72.55,Gift Card,TX300069,72.55,152,Male,2022-12-25,
Desk,8,200.64,Debit Card,TX300070,1605.12,149,Male,2022-11-30,
Phone,5,297.21,Debit Card,TX300071,1486.05,3,Male,2022-09-23,
Chair,2,171.3,Cash,TX300072,342.6,54,Male,2022-12-18,
Phone,9,158.37,Credit Card,TX300073,1425.33,80,Male,2022-03-26,
Monitor,6,98.03,Online,TX300074,588.18,75,Female,2022-07-01,
Tablet,7,47.84,Credit Card,TX300075,334.88,55,Female,2022-08-07,
Printer,7,361.31,Debit Card,TX300076,2529.17,94,Female,2022-03-09,
Laptop,4,346.87,Credit Card,TX300077,1387.48,47,Female,2022-10-26,
Monitor,3,140.31,Gift Card,TX300078,420.93,8,Male,2022-05-18,
Chair,4,209.05,Credit Card,TX300079,836.2,33,Female,2022-11-12,
Phone,9,173.09,Cash,TX300080,1557.81,20,Female,2022-05-10,
Monitor,7,67.36,Cash,TX300081,471.52,65,Female,2022-08-01,
Printer,5,319.05,Credit Card,TX300082,1595.25,147,Male,2022-02-04,
Desk,6,7.32,Debit Card,TX300083,43.92,61,Female,2022-02-14,
Chair,2,26.32,Gift Card,TX300084,52.64,129,Female,2022-09-17,
Phone,1,61.14,Gift Card,TX300085,61.14,29,Female,2022-09-14,
Laptop,4,350.33,Online,TX300086,1401.32,88,Female,2022-08-31,
Monitor,6,202.73,Credit Card,TX300087,1216.38,72,Female,2022-01-07,
Tablet,3,153.96,Credit Card,TX300088,461.88,78,Male,2022-08-12,
Phone,6,309.7,Cash,TX300089,1858.2,86,Male,2022-12-17,
Laptop,7,107.49,Cash,TX300090,752.43,132,Male,2022-10-04,
Desk,3,294.7,Credit Card,TX300091,884.1,98,Male,2022-10-30,
Desk,7,354.08,Gift Card,TX300092,2478.56,69,Female,2022-07-17,
Desk,3,267.22,Credit Card,TX300093,801.66,86,Female,2022-03-19,
Printer,7,190.84,Gift Card,TX300094,1335.88,37,Female,2022-03-19,
Laptop,5,238.89,Online,TX300095,1194.45,144,Female,2022-12-18,
Tablet,2,45.28,Cash,TX300096,90.56,51,Female,2022-05-16,
Printer,6,139.32,Credit Card,TX300097,835.92,18,Female,2022-11-22,
Desk,7,359.29,Gift Card,TX300098,2515.03,132,Female,2022-04-14,
Monitor,1,160.26,Online,TX300099,160.26,25,Male,2022-06-10,
Desk,9,195.91,Credit Card,TX300100,1763.19,31,Female,2022-04-19,
Phone,2,273.4,Debit Card,TX300101,546.8,104,Male,2022-05-30,
Laptop,5,78.56,Debit Card,TX300102,392.8,37,Female,2022-09-17,
Chair,2,82.84,Online,TX300103,165.68,28,Female,2022-01-02,
Phone,10,211.91,Credit Card,TX300104,2119.1,52,Female,2022-04-08,
Phone,2,327.69,Gift Card,TX300105,655.38,143,Female,2022-05-16,
Desk,4,335.41,Debit Card,TX300106,1341.64,138,Female,2022-04-15,
Printer,9,131.76,Cash,TX300107,1185.84,139,Female,2022-01-08,
Desk,1,215.47,Gift Card,TX300108,215.47,7,Male,2022-11-15,
Printer,6,194.66,Cash,TX300109,1167.96,77,Female,2022-12-26,
Laptop,1,308.26,Online,TX300110,308.26,122,Male,2022-10-31,
Phone,8,104.13,Debit Card,TX300111,833.04,49,Male,2022-04-14,
Phone,7,398.83,Debit Card,TX300112,2791.81,81,Female,2022-03-16,
Phone,7,52.68,Gift Card,TX300113,368.76,146,Male,2022-05-27,
Desk,8,82.48,Online,TX300114,659.84,132,Male,2022-08-25,
Phone,10,346.62,Online,TX300115,3466.2,106,Male,2022-08-05,
Tablet,9,302.23,Credit Card,TX300116,2720.07,27,Male,2022-05-02,
Monitor,10,355.74,Cash,TX300117,3557.4,97,Female,2022-01-21,
Tablet,4,329.07,Credit Card,TX300118,1316.28,5,Female,2022-10-13,
Printer,4,217.89,Credit Card,TX300119,871.56,116,Female,2022-04-08,
Phone,10,35.68,Debit Card,TX300120,356.8,26,Male,2022-04-05,
Printer,10,363.63,Credit Card,TX300121,3636.3,136,Female,2022-08-15,
Chair,8,157.94,Gift Card,TX300122,1263.52,118,Female,2022-09-15,
Desk,10,314.01,Credit Card,TX300123,3140.1,28,Female,2022-10-10,
Phone,4,199.4,Gift Card,TX300124,797.6,85,Male,2022-01-05,
Desk,10,254.52,Online,TX300125,2545.2,97,Male,2022-12-18,
Monitor,5,377.06,Online,TX300126,1885.3,40,Female,2022-03-11,
Tablet,3,40.24,Debit Card,TX300127,120.72,146,Male,2022-03-06,
Printer,1,347.26,Credit Card,TX300128,347.26,87,Male,2022-08-28,
Tablet,2,229.45,Gift Card,TX300129,458.9,62,Female,2022-09-15,
Desk,1,31.5,Debit Card,TX300130,31.5,111,Male,2022-12-26,
Phone,2,120,Credit Card,TX300131,240,78,Male,2022-10-12,
Monitor,7,126.69,Credit Card,TX300132,886.83,46,Female,2022-01-05,
Printer,6,221.43,Cash,TX300133,1328.58,82,Male,2022-05-27,
Monitor,8,357.5,Cash,TX300134,2860,101,Male,2022-06-23,
Monitor,1,256.49,Debit Card,TX300135,256.49,56,Female,2022-06-15,
Desk,2,303.65,Cash,TX300136,607.3,24,Male,2022-01-08,
Laptop,7,254.89,Online,TX300137,1784.23,15,Male,2022-05-17,
Chair,9,102.38,Gift Card,TX300138,921.42,143,Male,2022-01-02,
Laptop,10,380.63,Online,TX300139,3806.3,117,Male,2022-05-04,
Monitor,5,252.42,Cash,TX300140,1262.1,13,Male,2022-10-19,
Chair,3,207.33,Gift Card,TX300141,621.99,52,Female,2022-10-27,
Phone,3,269.43,Online,TX300142,808.29,104,Male,2022-12-07,
Tablet,1,366.47,Credit Card,TX300143,366.47,144,Male,2022-08-25,
Chair,3,180.96,Online,TX300144,542.88,10,Male,2022-11-14,
Phone,4,67.39,Debit Card,TX300145,269.56,119,Female,2022-01-27,
Desk,4,312.88,Credit Card,TX300146,1251.52,132,Female,2022-03-10,
Printer,10,312.51,Gift Card,TX300147,3125.1,138,Female,2022-01-08,
Laptop,6,67.61,Debit Card,TX300148,405.66,15,Male,2022-08-26,
Desk,6,58.92,Online,TX300149,353.52,87,Female,2022-04-04,
Desk,7,230.74,Gift Card,TX300150,1615.18,7,Female,2022-08-08,
Chair,10,19.49,Credit Card,TX300151,194.9,115,Male,2022-08-02,
Laptop,2,373.03,Debit Card,TX300152,746.06,87,Male,2022-09-19,
Desk,6,338.2,Online,TX300153,2029.2,57,Female,2022-04-20,
Chair,1,8.05,Gift Card,TX300154,8.05,18,Female,2022-07-04,
Laptop,4,310.75,Gift Card,TX300155,1243,71,Male,2022-01-01,
Phone,3,76.92,Gift Card,TX300156,230.76,102,Female,2022-11-02,
Phone,10,33.46,Online,TX300157,334.6,42,Female,2022-06-14,
Printer,10,27.94,Cash,TX300158,279.4,61,Male,2022-04-08,
Chair,1,35.84,Cash,TX300159,35.84,61,Female,2022-01-15,
Monitor,5,326.65,Credit Card,TX300160,1633.25,49,Male,2022-03-03,
Monitor,7,300.35,Credit Card,TX300161,2102.45,2,Male,2022-11-09,
Laptop,4,368.51,Debit Card,TX300162,1474.04,106,Female,2022-02-20,
Chair,5,59.26,Gift Card,TX300163,296.3,125,Male,2022-12-08,
Laptop,9,55.64,Gift Card,TX300164,500.76,75,Female,2022-10-06,
Phone,6,129.21,Credit Card,TX300165,775.26,81,Male,2022-09-19,
Phone,4,162.23,Online,TX300166,648.92,62,Female,2022-12-31,
Chair,9,146.65,Cash,TX300167,1319.85,121,Male,2022-01-12,
Phone,9,77.17,Debit Card,TX300168,694.53,105,Female,2022-04-11,
Monitor,5,216.28,Debit Card,TX300169,1081.4,2,Female,2022-02-02,
Phone,3,395.53,Credit Card,TX300170,1186.59,48,Female,2022-02-23,
Tablet,7,30.8,Gift Card,TX300171,215.6,117,Female,2022-05-27,
Laptop,5,181.86,Online,TX300172,909.3,127,Male,2022-02-03,
Monitor,6,113.53,Debit Card,TX300173,681.18,10,Male,2022-08-14,
Laptop,10,215.64,Gift Card,TX300174,2156.4,21,Female,2022-10-06,
Monitor,9,398.75,Online,TX300175,3588.75,76,Female,2022-06-01,
Desk,7,148.14,Gift Card,TX300176,1036.98,43,Male,2022-01-27,
Printer,7,258.69,Credit Card,TX300177,1810.83,8,Female,2022-05-01,
Monitor,7,114.76,Gift Card,TX300178,803.32,33,Female,2022-12-01,
Phone,3,58.45,Cash,TX300179,175.35,1,Male,2022-05-27,
Monitor,10,238.87,Gift Card,TX300180,2388.7,56,Male,2022-08-04,
Desk,9,222.61,Debit Card,TX300181,2003.49,55,Male,2022-09-21,
Printer,6,154.89,Gift Card,TX300182,929.34,151,Female,2022-11-01,
Laptop,6,397.85,Debit Card,TX300183,2387.1,69,Female,2022-01-02,
Tablet,10,12.93,Credit Card,TX300184,129.3,155,Male,2022-10-26,
Tablet,2,223.23,Debit Card,TX300185,446.46,93,Female,2022-12-10,
Desk,6,218.42,Gift Card,TX300186,1310.52,66,Female,2022-07-16,
Printer,6,250.83,Credit Card,TX300187,1504.98,88,Male,2022-12-11,
Monitor,5,207.59,Gift Card,TX300188,1037.95,68,Male,2022-09-03,
Monitor,3,79.33,Credit Card,TX300189,237.99,150,Female,2022-08-12,
Monitor,6,75.73,Gift Card,TX300190,454.38,95,Female,2022-11-05,
Chair,3,198.77,Debit Card,TX300191,596.31,134,Female,2022-09-07,
Desk,8,368.51,Credit Card,TX300192,2948.08,76,Male,2022-08-12,
Tablet,3,280.12,Cash,TX300193,840.36,146,Female,2022-05-23,
Phone,10,258.27,Gift Card,TX300194,2582.7,144,Female,2022-08-07,
Laptop,4,208.83,Online,TX300195,835.32,123,Female,2022-12-29,
Chair,7,109.79,Debit Card,TX300196,768.53,116,Male,2022-10-29,
Monitor,6,285.26,Credit Card,TX300197,1711.56,27,Female,2022-06-19,
Monitor,6,393.87,Credit Card,TX300198,2363.22,87,Female,2022-02-12,
Laptop,7,373.31,Online,TX300199,2613.17,143,Male,2022-01-05,
Laptop,8,27.43,Debit Card,TX300200,219.44,25,Male,2022-01-01,
Printer,5,320.56,Cash,TX300201,1602.8,60,Female,2022-03-18,
Phone,8,347.37,Gift Card,TX300202,2778.96,7,Female,2022-03-28,
Monitor,6,201.85,Online,TX300203,1211.1,60,Male,2022-06-19,
Tablet,8,28.73,Debit Card,TX300204,229.84,129,Male,2022-11-12,
Printer,2,195.86,Cash,TX300205,391.72,50,Female,2022-10-26,
Chair,9,362.87,Debit Card,TX300206,3265.83,98,Female,2022-05-06,
Printer,9,80.34,Debit Card,TX300207,723.06,46,Female,2022-07-26,
Monitor,5,363.82,Cash,TX300208,1819.1,145,Male,2022-12-16,
Desk,9,33.81,Debit Card,TX300209,304.29,147,Female,2022-02-04,
Desk,1,72.67,Credit Card,TX300210,72.67,78,Female,2022-12-18,
Phone,3,94.42,Cash,TX300211,283.26,63,Female,2022-08-05,
Printer,5,337.42,Cash,TX300212,1687.1,44,Female,2022-06-21,
Tablet,10,382.99,Credit Card,TX300213,3829.9,72,Female,2022-10-21,
Chair,4,42.85,Credit Card,TX300214,171.4,142,Female,2022-10-20,
Desk,10,210.94,Debit Card,TX300215,2109.4,146,Male,2022-12-15,
Printer,4,125.66,Debit Card,TX300216,502.64,134,Male,2022-11-08,
Laptop,6,266.69,Online,TX300217,1600.14,49,Female,2022-01-10,
Desk,5,33.64,Gift Card,TX300218,168.2,136,Male,2022-09-14,
Monitor,1,226.69,Debit Card,TX300219,226.69,37,Male,2022-03-29,
Laptop,10,48.17,Cash,TX300220,481.7,28,Male,2022-08-16,
Desk,9,324.63,Cash,TX300221,2921.67,38,Male,2022-09-05,
Phone,10,399.74,Credit Card,TX300222,3997.4,46,Male,2022-01-29,
Tablet,10,309.33,Debit Card,TX300223,3093.3,136,Male,2022-10-13,
Chair,8,133.51,Credit Card,TX300224,1068.08,139,Male,2022-08-16,
Printer,9,244.78,Online,TX300225,2203.02,36,Male,2022-05-15,
Monitor,5,122.53,Gift Card,TX300226,612.65,112,Male,2022-04-10,
Tablet,5,133.33,Online,TX300227,666.65,61,Male,2022-08-09,
Tablet,3,303.35,Cash,TX300228,910.05,55,Male,2022-02-25,
Phone,4,294.28,Debit Card,TX300229,1177.12,5,Male,2022-12-21,
Printer,4,201.46,Debit Card,TX300230,805.84,20,Female,2022-10-29,
Chair,2,354.14,Gift Card,TX300231,708.28,111,Female,2022-11-23,
Tablet,1,142.57,Gift Card,TX300232,142.57,55,Male,2022-03-27,
Laptop,10,172.32,Online,TX300233,1723.2,45,Male,2022-04-21,
Chair,9,195.04,Debit Card,TX300234,1755.36,15,Female,2022-01-24,
Tablet,8,298.8,Credit Card,TX300235,2390.4,120,Male,2022-10-01,
Printer,1,51.87,Online,TX300236,51.87,50,Male,2022-05-11,
Tablet,5,58.51,Gift Card,TX300237,292.55,145,Male,2022-09-11,
Tablet,7,65.57,Credit Card,TX300238,458.99,63,Female,2022-12-27,
Laptop,9,73.62,Online,TX300239,662.58,33,Male,2022-04-19,
Phone,10,282.75,Credit Card,TX300240,2827.5,151,Male,2022-02-27,
Phone,8,112.39,Online,TX300241,899.12,40,Male,2022-11-23,
Monitor,2,215.6,Online,TX300242,431.2,15,Male,2022-04-01,
Laptop,10,242.6,Cash,TX300243,2426,42,Male,2022-10-03,
Laptop,4,20.47,Online,TX300244,81.88,70,Male,2022-06-23,
Phone,4,257.19,Gift Card,TX300245,1028.76,58,Male,2022-03-05,
Monitor,10,130.81,Cash,TX300246,1308.1,82,Male,2022-06-25,
Laptop,4,295.25,Gift Card,TX300247,1181,63,Male,2022-12-08,
Desk,9,311.23,Credit Card,TX300248,2801.07,111,Male,2022-10-10,
Monitor,9,85.04,Gift Card,TX300249,765.36,55,Male,2022-08-21,
Desk,5,354.97,Online,TX300250,1774.85,106,Female,2022-12-31,
Phone,2,300.88,Cash,TX300251,601.76,22,Female,2022-09-30,
Laptop,10,248.55,Debit Card,TX300252,2485.5,52,Male,2022-12-12,
Phone,5,237.09,Online,TX300253,1185.45,7,Male,2022-02-11,
Laptop,5,45.97,Gift Card,TX300254,229.85,88,Male,2022-05-15,
Laptop,8,158.02,Online,TX300255,1264.16,111,Male,2022-12-29,
Desk,4,217.07,Credit Card,TX300256,868.28,62,Female,2022-09-03,
Monitor,7,229.82,Debit Card,TX300257,1608.74,145,Female,2022-07-04,
Monitor,10,310.02,Cash,TX300258,3100.2,3,Male,2022-01-09,
Phone,10,294.99,Cash,TX300259,2949.9,29,Male,2022-11-05,
Desk,7,228.97,Credit Card,TX300260,1602.79,93,Female,2022-03-03,
Laptop,4,173.42,Gift Card,TX300261,693.68,130,Male,2022-12-10,
Phone,4,392.47,Online,TX300262,1569.88,70,Female,2022-02-20,
Phone,5,68.88,Credit Card,TX300263,344.4,29,Male,2022-05-10,
Chair,6,335.39,Credit Card,TX300264,2012.34,93,Female,2022-04-14,
Laptop,4,29.05,Online,TX300265,116.2,88,Male,2022-08-26,
Tablet,3,152.75,Online,TX300266,458.25,119,Male,2022-11-07,
Monitor,8,231.47,Debit Card,TX300267,1851.76,15,Female,2022-06-09,
Laptop,9,328.28,Debit Card,TX300268,2954.52,120,Male,2022-09-13,
Chair,9,254.76,Debit Card,TX300269,2292.84,74,Male,2022-07-20,
Printer,3,174.62,Debit Card,TX300270,523.86,147,Female,2022-12-27,
Desk,2,332.06,Gift Card,TX300271,664.12,32,Female,2022-12-18,
Printer,5,170.02,Credit Card,TX300272,850.1,130,Male,2022-11-10,
Monitor,3,17.98,Online,TX300273,53.94,102,Female,2022-07-14,
Laptop,1,188.28,Credit Card,TX300274,188.28,41,Female,2022-05-06,
Desk,1,380.74,Credit Card,TX300275,380.74,65,Male,2022-01-21,
Phone,8,396.79,Credit Card,TX300276,3174.32,148,Male,2022-12-27,
Monitor,3,86.64,Online,TX300277,259.92,88,Male,2022-10-11,
Monitor,8,45.99,Cash,TX300278,367.92,13,Female,2022-03-12,
Monitor,1,201.06,Debit Card,TX300279,201.06,107,Male,2022-07-06,
Desk,7,206.22,Online,TX300280,1443.54,99,Female,2022-08-20,
Desk,3,18.59,Credit Card,TX300281,55.77,116,Male,2022-01-10,
Monitor,5,164.32,Debit Card,TX300282,821.6,74,Male,2022-05-10,
Printer,9,249.93,Gift Card,TX300283,2249.37,22,Female,2022-06-25,
Tablet,8,216.91,Cash,TX300284,1735.28,32,Male,2022-12-11,
Monitor,1,53.75,Credit Card,TX300285,53.75,23,Female,2022-10-24,
Tablet,3,149.79,Online,TX300286,449.37,29,Female,2022-12-15,
Laptop,5,133.72,Credit Card,TX300287,668.6,9,Female,2022-06-07,
Monitor,1,305.19,Cash,TX300288,305.19,138,Male,2022-04-29,
Tablet,10,287.93,Cash,TX300289,2879.3,2,Male,2022-03-08,
Tablet,10,356.74,Debit Card,TX300290,3567.4,11,Male,2022-07-21,
Chair,10,105.45,Cash,TX300291,1054.5,111,Male,2022-09-19,
Printer,10,369.1,Credit Card,TX300292,3691,68,Male,2022-07-10,
Chair,8,62.29,Debit Card,TX300293,498.32,115,Male,2022-09-12,
Tablet,3,168.63,Cash,TX300294,505.89,125,Male,2022-11-17,
Phone,4,153.75,Gift Card,TX300295,615,1,Male,2022-08-21,
Desk,7,24.39,Online,TX300296,170.73,112,Female,2022-06-10,
Monitor,3,258.74,Debit Card,TX300297,776.22,1,Male,2022-09-25,
Chair,10,19.72,Cash,TX300298,197.2,9,Male,2022-04-29,
Printer,1,60.07,Credit Card,TX300299,60.07,128,Male,2022-01-04,
Phone,3,112.59,Debit Card,TX300300,337.77,66,Female,2022-04-14,
Printer,7,19.21,Online,TX300301,134.47,30,Male,2022-03-19,
Printer,6,140.38,Online,TX300302,842.28,52,Male,2022-01-09,
Tablet,8,182.9,Online,TX300303,1463.2,6,Male,2022-11-22,
Tablet,4,311.31,Cash,TX300304,1245.24,104,Male,2022-04-18,
Desk,4,323.46,Gift Card,TX300305,1293.84,124,Male,2022-01-14,
Phone,3,287.54,Debit Card,TX300306,862.62,104,Female,2022-06-24,
Printer,8,224.47,Cash,TX300307,1795.76,141,Female,2022-01-21,
Monitor,4,134.1,Credit Card,TX300308,536.4,57,Male,2022-06-27,
Phone,10,238.98,Credit Card,TX300309,2389.8,144,Male,2022-07-29,
Phone,1,157.01,Gift Card,TX300310,157.01,69,Female,2022-03-02,
Monitor,3,385.02,Debit Card,TX300311,1155.06,77,Female,2022-02-24,
Laptop,9,361.39,Online,TX300312,3252.51,153,Male,2022-10-04,
Laptop,2,221.29,Cash,TX300313,442.58,113,Male,2022-01-16,
Printer,4,163.36,Cash,TX300314,653.44,120,Male,2022-06-16,
Tablet,9,120.53,Online,TX300315,1084.77,70,Female,2022-07-06,
Monitor,3,138.48,Online,TX300316,415.44,58,Male,2022-04-23,
Printer,4,340.55,Online,TX300317,1362.2,120,Female,2022-10-08,
Desk,4,158.42,Gift Card,TX300318,633.68,87,Male,2022-12-26,
Tablet,8,51.55,Cash,TX300319,412.4,28,Female,2022-07-17,
Chair,2,58.36,Gift Card,TX300320,116.72,93,Male,2022-06-30,
Phone,10,330.6,Online,TX300321,3306,96,Female,2022-11-08,
Monitor,8,151.45,Debit Card,TX300322,1211.6,136,Female,2022-12-07,
Laptop,5,38.89,Cash,TX300323,194.45,120,Female,2022-10-14,
Monitor,5,316.62,Debit Card,TX300324,1583.1,139,Female,2022-11-04,
Monitor,10,369.63,Gift Card,TX300325,3696.3,15,Female,2022-01-28,
Desk,8,58.28,Credit Card,TX300326,466.24,53,Female,2022-04-20,
Printer,3,136.39,Gift Card,TX300327,409.17,59,Female,2022-07-12,
Tablet,4,314.73,Debit Card,TX300328,1258.92,4,Male,2022-07-31,
Monitor,4,277.5,Debit Card,TX300329,1110,134,Male,2022-03-05,
Monitor,3,261.76,Online,TX300330,785.28,138,Male,2022-05-07,
Tablet,8,268.58,Online,TX300331,2148.64,33,Female,2022-08-18,
Laptop,1,46.55,Cash,TX300332,46.55,88,Female,2022-10-19,
Laptop,5,148.76,Gift Card,TX300333,743.8,121,Female,2022-09-17,
Chair,9,394.42,Online,TX300334,3549.78,63,Female,2022-12-01,
Phone,1,72,Gift Card,TX300335,72,47,Male,2022-06-29,
Chair,8,226.4,Debit Card,TX300336,1811.2,132,Female,2022-11-10,
Tablet,3,351.54,Credit Card,TX300337,1054.62,144,Female,2022-02-20,
Desk,7,157.11,Debit Card,TX300338,1099.77,148,Female,2022-11-09,
Chair,10,392.71,Cash,TX300339,3927.1,49,Female,2022-06-14,
Phone,8,310.26,Debit Card,TX300340,2482.08,138,Female,2022-04-13,
Phone,9,11.91,Credit Card,TX300341,107.19,2,Female,2022-09-22,
Chair,1,367.5,Online,TX300342,367.5,55,Female,2022-09-19,
Monitor,1,375.32,Gift Card,TX300343,375.32,17,Female,2022-08-20,
Tablet,2,82.73,Cash,TX300344,165.46,94,Female,2022-02-12,
Laptop,1,227.17,Credit Card,TX300345,227.17,14,Female,2022-05-11,
Printer,4,45.25,Cash,TX300346,181,14,Female,2022-04-03,
Tablet,2,328.5,Online,TX300347,657,69,Female,2022-11-13,
Tablet,4,368.99,Cash,TX300348,1475.96,138,Female,2022-08-21,
Laptop,7,140.39,Credit Card,TX300349,982.73,120,Female,2022-02-15,
Monitor,5,93.66,Cash,TX300350,468.3,77,Female,2022-08-13,
Tablet,8,357.36,Online,TX300351,2858.88,138,Female,2022-01-20,
Desk,9,350.46,Cash,TX300352,3154.14,141,Female,2022-10-09,
Desk,10,214.18,Cash,TX300353,2141.8,52,Female,2022-05-02,
Chair,10,302.9,Debit Card,TX300354,3029,30,Female,2022-05-21,
Chair,2,96.78,Online,TX300355,193.56,51,Female,2022-10-06,
Chair,9,10.26,Debit Card,TX300356,92.34,3,Male,2022-11-14,
Monitor,4,229.25,Gift Card,TX300357,917,37,Male,2022-09-30,
Monitor,7,255.33,Debit Card,TX300358,1787.31,147,Female,2022-08-07,
Phone,8,213.22,Credit Card,TX300359,1705.76,135,Female,2022-04-29,
Chair,8,100.73,Debit Card,TX300360,805.84,142,Male,2022-08-11,
Chair,7,75.44,Debit Card,TX300361,528.08,94,Male,2022-08-14,
Tablet,2,125.58,Cash,TX300362,251.16,41,Female,2022-07-18,
Monitor,1,5.74,Cash,TX300363,5.74,131,Female,2022-06-15,
Laptop,8,202.46,Online,TX300364,1619.68,5,Male,2022-07-02,
Laptop,6,127.19,Credit Card,TX300365,763.14,26,Male,2022-09-09,
Chair,4,390.36,Online,TX300366,1561.44,141,Female,2022-09-13,
